course_id,module_name,course_level,course_name,course_levelrank,duration,no_of_enrollments,no_of_ratings,course_rating,created_time,creator_name
1,Azure IaaS,Advanced,Azure IaaS_Advanced,4,15,6000,3060,4,01-03-2017,Davy Markussen
2,CSS,Intermediate,CSS_Intermediate,1,25,4000,942,4,13-12-2017,Nate Carruth
3,Databases,Beginner,Databases_Beginner,2,35,10000,2368,5,01-04-2021,Kimberly Taffarello
4,Power BI,Intermediate,Power BI_Intermediate,3,30,2000,500,5,06-01-2021,Jamill Hamber
5,CSS,Beginner,CSS_Beginner,1,20,7000,2033,5,09-10-2020,Rycca Dunkerley
6,Azure IaaS,Expert,Azure IaaS_Expert,4,25,2000,672,3,23-12-2020,Morie Easen
7,Hadoop,Advanced,Hadoop_Advanced,4,12,4000,2384,3,30-04-2022,Adolpho McGeechan
8,Power Platform,Expert,Power Platform_Expert,4,3,9000,844,5,05-10-2019,Dona Lezemere
9,Azure PaaS,Advanced,Azure PaaS_Advanced,2,12,2000,1573,1,30-09-2022,Oralla McCracken
10,CSS,Expert,CSS_Expert,4,12,3000,2964,3,09-10-2022,Nye Chansonne
11,Hadoop,Intermediate,Hadoop_Intermediate,3,30,10000,387,5,26-09-2018,Shay MacCrann
12,HTML,Advanced,HTML_Advanced,4,30,3000,1660,4,03-01-2022,Jock Bowton
13,Power BI,Beginner,Power BI_Beginner,1,20,2000,500,5,02-09-2020,Nady Issard
14,AWS,Advanced,AWS_Advanced,3,35,1000,250,4,20-06-2018,Heriberto Gokes
15,Deep Learning,Beginner,Deep Learning_Beginner,2,20,10000,3769,4,02-09-2022,Wynne Damrell
16,Hadoop,Beginner,Hadoop_Beginner,2,15,1000,250,2,11-05-2018,Kilian Philbin
17,Azure IaaS,Advanced,Azure IaaS_Advanced,2,30,1000,250,,12-05-2022,Maud Dankersley
18,Javascript,Advanced,Javascript_Advanced,3,25,1000,250,5,30-04-2021,Germain Hogbin
19,IaC,Expert,IaC_Expert,4,35,1000,250,4,19-12-2022,Concettina Kordas
20,Tableau,Advanced,Tableau_Advanced,4,35,2000,1076,1,05-11-2021,Lucy Doddrell
21,Azure PaaS,Intermediate,Azure PaaS_Intermediate,3,15,3000,1894,1,21-09-2022,Jed MacElholm
22,Azure IaaS,Intermediate,Azure IaaS_Intermediate,3,35,1000,250,4,09-03-2020,Eadmund Starling
23,MS Office,Intermediate,MS Office_Intermediate,2,15,2000,1227,2,25-09-2021,Odelia Tierney
24,Databases,Intermediate,Databases_Intermediate,3,25,2000,1299,5,12-09-2017,Cacilie Iorns
25,Power BI,Expert,Power BI_Expert,4,25,7000,2442,4,19-06-2018,Puff Brockhurst
26,SQL,Expert,SQL_Expert,4,9,1000,250,5,04-12-2018,Adelaide Eliez
27,Databases,Expert,Databases_Expert,4,25,8000,1334,5,19-01-2017,Georgeta Toffoloni
28,MS Office,Beginner,MS Office_Beginner,1,20,1000,250,2,21-07-2017,Anders Tabbernor
29,HTML,Expert,HTML_Expert,3,25,1000,250,1,11-08-2017,Mordy Sacase
30,Azure IaaS,Intermediate,Azure IaaS_Intermediate,2,15,9000,2311,4,17-07-2017,Meris Stormes
31,R Language,Intermediate,R Language_Intermediate,2,12,9000,2770,5,07-11-2021,Shina Diack
32,R Language,Expert,R Language_Expert,3,12,1000,250,4,17-06-2020,Charis Buzzing
33,IaC,Intermediate,IaC_Intermediate,3,30,1000,250,4,13-02-2017,Lethia Boni
34,Azure IaaS,Beginner,Azure IaaS_Beginner,2,20,4000,1267,5,06-09-2019,Marthena Coners
35,CSS,Advanced,CSS_Advanced,3,25,2000,1455,4,19-07-2022,Stavro Rouf
36,Tableau,Intermediate,Tableau_Intermediate,2,12,2000,500,2,08-07-2022,Korella Moakes
37,HTML,Beginner,HTML_Beginner,1,3,2000,1157,5,15-06-2019,Eilis Dommersen
38,Databases,Intermediate,Databases_Intermediate,3,12,10000,467,3,01-02-2020,Basilio Keenleyside
39,Deep Learning,Intermediate,Deep Learning_Intermediate,1,30,1000,250,2,02-08-2018,Lon Bennion
40,IaC,Beginner,IaC_Beginner,2,20,2000,422,1,16-07-2018,Farr Hallybone
41,SQL,Advanced,SQL_Advanced,2,40,1000,826,3,20-02-2022,Sile Palfree
42,Databases,Beginner,Databases_Beginner,1,35,1000,250,,21-08-2021,Karolina Chazette
43,IaC,Advanced,IaC_Advanced,3,20,5000,2338,5,26-04-2017,Livvyy Mackrill
44,MS Office,Intermediate,MS Office_Intermediate,2,35,3000,1740,5,02-02-2017,Sidney Samwayes
45,SQL,Intermediate,SQL_Intermediate,3,9,2000,1022,5,24-05-2021,Berti Llorens
46,CSS,Advanced,CSS_Advanced,4,9,7000,288,1,15-06-2017,Wylie Weetch
47,SQL,Advanced,SQL_Advanced,4,20,3000,1389,4,09-01-2019,Blayne Dahill
48,IaC,Intermediate,IaC_Intermediate,3,12,1000,893,4,06-07-2018,Delainey MacAlester
49,Tableau,Expert,Tableau_Expert,4,25,9000,681,2,25-06-2021,Gery Dobrowlski
50,R Language,Intermediate,R Language_Intermediate,2,30,5000,1320,1,12-07-2022,Diane-marie McLukie
51,IaC,Expert,IaC_Expert,4,30,3000,1667,4,03-05-2017,Westbrooke Epdell
52,Azure IaaS,Intermediate,Azure IaaS_Intermediate,1,9,10000,3427,4,13-05-2017,Marilyn McInteer
53,R Language,Intermediate,R Language_Intermediate,1,12,1000,250,3,27-06-2020,Carmelle Aubery
54,Power BI,Advanced,Power BI_Advanced,2,9,1000,250,3,21-03-2022,Kendre Hegges
55,Javascript,Beginner,Javascript_Beginner,1,12,9000,1948,4,13-11-2021,Esmeralda Vedeshkin
56,Power BI,Intermediate,Power BI_Intermediate,1,20,3000,1720,,04-05-2022,My Honeyghan
57,IaC,Advanced,IaC_Advanced,2,15,3000,750,3,17-07-2018,Arturo O'Reilly
58,Word Press,Advanced,Word Press_Advanced,4,15,5000,3050,4,24-12-2019,Thornie Badgers
59,CSS,Beginner,CSS_Beginner,2,9,3000,1963,4,24-10-2018,Harald Abramow
60,Power Platform,Advanced,Power Platform_Advanced,3,35,3000,1301,5,07-11-2019,Valentina Accombe
61,Power Platform,Expert,Power Platform_Expert,3,25,2000,500,5,16-01-2019,Sigismundo Buesden
62,IaC,Expert,IaC_Expert,4,15,1000,250,2,09-02-2022,Bernice Elsmore
63,Azure PaaS,Intermediate,Azure PaaS_Intermediate,2,25,3000,2061,5,29-05-2021,Myrtice Welch
64,Azure PaaS,Advanced,Azure PaaS_Advanced,3,20,2000,500,4,12-11-2021,Dinny Glabach
65,Javascript,Beginner,Javascript_Beginner,1,35,1000,250,1,09-12-2022,Monti Corryer
66,HTML,Beginner,HTML_Beginner,1,30,1000,250,4,10-12-2017,Rosalinde Stowgill
67,Azure IaaS,Intermediate,Azure IaaS_Intermediate,3,25,2000,511,4,12-09-2017,Brenda Woodnutt
68,CSS,Expert,CSS_Expert,3,15,2000,500,5,05-04-2020,Glen Gotch
